"","Group.1","Vol"
"1",1,917.056465922547
"2",2,1048.78842127612
"3",3,897.54062068498
"4",4,1289.48384587278
"5",5,1289.48384587278
"6",6,1289.48384587278
"7",7,1289.48384587278
"8",8,1289.48384587278
"9",9,1289.48384587278
"10",10,1289.48384587278
"11",11,1289.48384587278
"12",12,1289.48384587278
"13",13,1292.67276927598
"14",14,1291.21135053178
"15",15,1292.79488207259
"16",16,1287.16888362415
"17",17,NA
"18",18,1298.74884403871
"19",19,1292.97148331349
"20",20,1620.05137018163
"21",21,1373.25621138485
"22",22,NA
"23",23,NA
"24",24,1291.08185947359
"25",25,1377.49234133076
"26",26,1456.69881835542
"27",27,1301.2559857028
"28",28,1256.64257725017
"29",29,1313.54149327507
"30",30,1393.35812132726
"31",31,NA
"32",32,1322.92011837839
"33",33,1267.3064358206
"34",34,1295.45390888586
"35",35,1304.58518099432
"36",36,1301.60647265562
"37",37,1299.94384384305
"38",38,1544.85287489499
"39",39,1374.79747286124
"40",40,1301.40431990508
"41",41,1231.73091438793
"42",42,1207.93388124012
"43",43,1381.40593811792
"44",44,1209.61538186776
"45",45,1225.50234530533
"46",46,1348.21535153244
"47",47,1399.69825724039
"48",48,1431.16027994394
"49",49,1632.80786825243
"50",50,1525.69404099566
"51",51,1292.10693644581
"52",52,1281.63205301673
"53",53,1377.95264126063
"54",54,1475.53915803683
"55",55,1374.57444277704
"56",56,1454.38653243984
"57",57,1455.16849457635
"58",58,1417.99369986639
"59",59,1507.53062484794
"60",61,1416.28566535355
"61",62,1484.11754185591
"62",63,1559.79337813861
"63",64,1546.45238124696
"64",65,1578.29785561137
"65",66,1442.181179139
"66",67,1407.29511559767
"67",68,1374.02580717233
"68",70,1471.7763928482
"69",71,1428.10657050467
"70",72,1490.12579950789
"71",73,2002.28390996205
"72",74,1998.72817037271
"73",75,1266.11675102687
"74",76,1309.3567888904
"75",77,1384.03600606343
"76",78,1247.95611602257
"77",79,1355.86725964472
"78",80,1271.8655603344
"79",81,1352.64956789869
"80",82,1262.65601656918
"81",83,1285.33139843121
"82",84,1304.60019301775
"83",85,1305.63998706658
"84",86,1341.11593318787
"85",87,1823.65791836993
"86",88,1343.66717404542
"87",89,1410.0210918514
"88",90,1382.55102333908
"89",91,1260.76052539784
"90",92,1048.96299065106
"91",93,944.875661017512
"92",94,1020.31139697131
"93",95,1101.77797853028
"94",96,1019.96202484426
"95",97,NA
"96",98,1256.05949119535
"97",99,1101.77797853028
"98",100,1033.98761690472
"99",101,1201.12592229188
"100",102,1286.44827399302
"101",103,961.522057925671
"102",104,1017.62442616751
"103",105,934.63967314312
"104",106,NA
"105",107,982.560446016362
"106",108,963.859656602414
"107",109,1382.2898197395
"108",110,946.327666526838
"109",111,NA
"110",112,1005.9364327838
"111",113,907.75728836057
"112",114,996.586038076823
"113",115,NA
"114",116,NA
"115",117,1024.63722219775
