A,12:00:00,41
A,13:00:00,40
A,14:00:00,40
A,15:00:00,40
A,16:00:00,44
A,17:00:00,46
A,18:00:00,44
A,19:00:00,44
A,20:00:00,44
A,21:00:00,44
A,22:00:00,44
A,23:00:00,45
A,00:00:00,44
A,01:00:00,44
A,02:00:00,44
A,03:00:00,44
A,04:00:00,44
A,05:00:00,44
A,06:00:00,43
A,07:00:00,43
A,08:00:00,43
A,09:00:00,43
A,10:00:00,43
A,11:00:00,42
B,12:00:00,44
B,13:00:00,45
B,14:00:00,45
B,15:00:00,45
B,16:00:00,45
B,17:00:00,46
B,18:00:00,46
B,19:00:00,47
B,20:00:00,48
B,21:00:00,49
B,22:00:00,52
B,23:00:00,48
B,00:00:00,47
B,01:00:00,44
B,02:00:00,44
B,03:00:00,44
B,04:00:00,45
B,05:00:00,45
B,06:00:00,45
B,07:00:00,45
B,08:00:00,44
B,09:00:00,44
B,10:00:00,44
B,11:00:00,44
